ID;Pregunta;Opción A;Opción B;Opción C;Opción D;Respuesta
1;El término 'ciencia' proviene del latín y su significado original es:;Buscar;Conocer;Analizar;Explicar;B
2;¿Cuál es el motor de toda actividad científica según el texto? ;Los libros de texto;Las preguntas y las ideas;Los experimentos de laboratorio;El financiamiento económico;B
3;¿Cuál es la primera fase del método científico que suele realizarse a partir del entorno y genera interrogantes?:;Formulación de hipótesis;Experimentación;Observación;Análisis de resultados;C
4;Una explicación fundamentada y susceptible de ser contrastada empíricamente para responder a una pregunta se denomina:;Teoría;Ley;Conclusión;Hipótesis;D
5;¿Qué fase del método científico requiere frecuentemente del apoyo de la estadística para sostener o refutar la hipótesis?:;La observación;La formulación de hipótesis;La experimentación;El análisis de los resultados;D
6;La Biología es una ciencia que consiste en el estudio integral de:;El medio ambiente;Los seres vivos;La materia inanimada;La atmósfera terrestre;B
7;¿Qué disciplina de la biología nos ayuda a conocer las causas que actualmente dañan nuestro mundo y tomar medidas para su conservación?:;Genética;Fisiología;Ecología;Anatomía;C
8;La rama de la biología que se ocupa del estudio de los animales, tanto invertebrados como vertebrados, es:;Botánica;Taxonomía;Fisiología;Zoología;D
9;¿Qué rama de la biología estudia el funcionamiento del organismo desde el nivel celular hasta el nivel de sistemas?:;Anatomía;Citología;Genética;Fisiología;D
10;La disciplina que estudia la naturaleza, expresión y transmisión de los genes de los organismos es la:;Bioquímica;Embriología;Genética;Biología celular;C
11;La rama de la biología que describe la forma, disposición, composición y relación entre los órganos y sistemas es:;Paleontología;Anatomía;Biofísica;Etología;B
12;¿Qué rama de la biología estudia los microorganismos como virus, bacterias y protozoarios?:;Microbiología;Botánica;Zoología;Embriología;A
13;El estudio del comportamiento de los animales, como la migración de las aves o rituales de apareamiento, corresponde a la:;Ecología;Fisiología;Etología;Taxonomía;C
14;La rama de la biología que estudia la estructura y función molecular de los seres vivos es:;Biofísica;Embriología;Bioquímica;Anatomía;C
15;La teoría que sostiene que cada especie fue creada por separado gracias a fuerzas divinas y permanece inmutable es:;Panspermia;Generación espontánea;Creacionismo;Quimiosintética;C
16;¿Cuál de las siguientes teorías fue refutada por los experimentos de Louis Pasteur en el siglo XIX?:;Teoría de la Biogénesis;Teoría de la Panspermia;Teoría de la generación espontánea;Teoría Quimiosintética;C
17;¿Qué científico demostró que las larvas de moscas no se generaban de la carne en putrefacción, sino de los huevos depositados?:;Louis Pasteur;Alexander Oparin;John Haldane;Francesco Redi;D
18;¿Qué teoría propone que los primeros organismos vivos llegaron a la Tierra desde el espacio exterior en forma de esporas o bacterias?:;Creacionismo;Biogénesis;Panspermia;Abiogénesis;C
19;La teoría quimiosintética (Oparin-Haldane) propone que la atmósfera primitiva de la Tierra era:;Rica en oxígeno (O2);Similar a la atmósfera actual;Carente de oxígeno (O2);Formada solo por nitrógeno y argón;C
20;Alexander Oparin denominó a los mares primitivos, donde se unieron moléculas orgánicas sencillas, como:;Sopa molecular;Caldo biológico;Océano ancestral;Caldo primitivo;D
21;Los agregados moleculares que surgieron a partir de compuestos más complejos y que son precursores de las primeras células se llaman:;Aminoácidos;Nucleótidos;Coenzimas;Coacervados;D
22;La unidad básica estructural y funcional de la vida es:;El tejido;El órgano;El sistema;La célula;D
23;El nivel de organización que incluye una comunidad más el medio no viviente (suelo, agua, atmósfera) se denomina:;Población;Organismo;Biósfera;Ecosistema;D
24;¿Qué conforman los organismos de una misma especie que interactúan entre sí?:;Un ecosistema;Una comunidad;Una biósfera;Una población;D
25;¿Qué característica permite a los seres vivos mantener relativamente constantes sus condiciones internas para funcionar adecuadamente?:;Metabolismo;Irritabilidad;Evolución;Autorregulación (Homeostasis);D
26;La regulación precisa de la cantidad de agua y sales dentro de las células es un ejemplo de:;Metabolismo;Reproducción;Homeostasis;Crecimiento;C
27;La capacidad que tienen los organismos para identificar y responder a los estímulos del ambiente (interno o externo) se llama:;Homeostasis;Adaptación;Metabolismo;Irritabilidad biológica;D
28;En las plantas, el crecimiento que se orienta hacia la luz es un ejemplo de:;Anabolismo;Desarrollo;Reproducción;Respuesta a estímulos;D
29;¿Cuál es la principal fuente de energía que sostiene prácticamente toda la vida en la Tierra?:;El calor geotérmico;La energía almacenada en lípidos;La energía nuclear;La luz del Sol;D
30;Los organismos que captan la energía de la luz para producir moléculas energéticas complejas mediante fotosíntesis se llaman:;Heterótrofos;Consumidores;Parásitos;Autótrofos;D
31;A la suma de todas las reacciones químicas (degradación y construcción) que tienen lugar en las células de un organismo se le conoce como:;Homeostasis;Fotosíntesis;Respiración;Metabolismo;D
32;La fase del metabolismo que incluye reacciones químicas de construcción (unión de moléculas sencillas a complejas) se denomina:;Catabolismo;Desdoblamiento;Degradación;Anabolismo;D
33;¿Qué fase metabólica implica la ruptura de enlaces y la liberación de energía, que será almacenada en las moléculas de ATP?:;Anabolismo;Fotosíntesis;Catabolismo;Síntesis;C
34;El incremento de tamaño de un organismo, que puede deberse al aumento de masa celular o del número de células, se define como:;Desarrollo;Evolución;Crecimiento;Adaptación;C
35;Los cambios cualitativos y funcionales que ocurren a lo largo de la vida, como la adquisición de nuevas capacidades, se refieren a:;Crecimiento;Homeostasis;Desarrollo;Adaptación;C
36;El concepto que postula que todos los seres vivos tuvieron su origen en formas ancestrales y se modificaron continuamente a través del tiempo es:;Genética;Homeostasis;Evolución;Irritabilidad;C
